,LeagueId,SeasonId,RoundApiId
637,39,2023,39-2023-25
638,39,2023,39-2023-26
639,39,2023,39-2023-27
640,39,2023,39-2023-28
641,39,2023,39-2023-29
642,39,2023,39-2023-30
643,39,2023,39-2023-31
644,39,2023,39-2023-32
645,39,2023,39-2023-33
646,39,2023,39-2023-34
647,39,2023,39-2023-35
648,39,2023,39-2023-36
649,39,2023,39-2023-37
650,39,2023,39-2023-38
651,39,2024,39-2024-1
652,39,2024,39-2024-2
653,39,2024,39-2024-3
654,39,2024,39-2024-4
655,39,2024,39-2024-5
656,39,2024,39-2024-6
657,39,2024,39-2024-7
658,39,2024,39-2024-8
659,39,2024,39-2024-9
660,39,2024,39-2024-10
661,39,2024,39-2024-11
662,39,2024,39-2024-12
663,39,2024,39-2024-13
664,39,2024,39-2024-14
665,39,2024,39-2024-15
666,39,2024,39-2024-16
667,39,2024,39-2024-17
668,39,2024,39-2024-18
669,39,2024,39-2024-19
670,39,2024,39-2024-20
671,39,2024,39-2024-21
672,39,2024,39-2024-22
673,39,2024,39-2024-23
674,39,2024,39-2024-24
675,39,2024,39-2024-25
676,39,2024,39-2024-29
677,39,2024,39-2024-26
678,39,2024,39-2024-27
679,39,2024,39-2024-28
680,39,2024,39-2024-30
681,39,2024,39-2024-31
682,39,2024,39-2024-32
683,39,2024,39-2024-33
684,39,2024,39-2024-34
685,39,2024,39-2024-35
686,39,2024,39-2024-36
687,39,2024,39-2024-37
688,39,2024,39-2024-38
689,39,2025,39-2025-1
690,39,2025,39-2025-2
691,39,2025,39-2025-3
692,39,2025,39-2025-4
693,39,2025,39-2025-5
694,39,2025,39-2025-6
695,39,2025,39-2025-7
696,39,2025,39-2025-8
697,39,2025,39-2025-9
698,39,2025,39-2025-10
699,39,2025,39-2025-11
700,39,2025,39-2025-12
701,39,2025,39-2025-13
702,39,2025,39-2025-14
703,39,2025,39-2025-15
704,39,2025,39-2025-16
705,39,2025,39-2025-17
706,39,2025,39-2025-18
707,39,2025,39-2025-19
708,39,2025,39-2025-20
709,39,2025,39-2025-21
710,39,2025,39-2025-22
711,39,2025,39-2025-23
712,39,2025,39-2025-24
713,39,2025,39-2025-25
714,39,2025,39-2025-26
715,39,2025,39-2025-27
716,39,2025,39-2025-28
717,39,2025,39-2025-29
718,39,2025,39-2025-30
719,39,2025,39-2025-31
720,39,2025,39-2025-32
721,39,2025,39-2025-33
722,39,2025,39-2025-34
723,39,2025,39-2025-35
724,39,2025,39-2025-36
725,39,2025,39-2025-37
726,39,2025,39-2025-38
727,140,2016,140-2016-1
728,140,2016,140-2016-2
729,140,2016,140-2016-3
730,140,2016,140-2016-4
731,140,2016,140-2016-5
732,140,2016,140-2016-6
733,140,2016,140-2016-7
734,140,2016,140-2016-8
735,140,2016,140-2016-9
736,140,2016,140-2016-10
737,140,2016,140-2016-11
738,140,2016,140-2016-12
739,140,2016,140-2016-13
740,140,2016,140-2016-14
741,140,2016,140-2016-15
742,140,2016,140-2016-16
743,140,2016,140-2016-17
744,140,2016,140-2016-18
745,140,2016,140-2016-19
